"","Lag","p","cov","s"
"1",3,-0.432849254998591,-88.8916998892581,12901.0377209302
"2",6,-0.519474920571851,-136.278918985507,13947.3699695652
"3",9,-0.397817222436159,-61.7423765514184,13348.9933208333
"4",12,-0.431939249670009,-97.5807227642277,10909.9396166667
"5",15,-0.39826284542927,-66.4813562753037,12802.9601641026
"6",18,-0.413960717853138,-86.4472856151711,14140.290912766
