"","Lag","p","cov","s"
"1",3,-0.33409394181081,-62.0206511088709,14161.300946875
"2",6,-0.414542051946569,-73.6945827526134,14882.2343119048
"3",9,-0.315993066800046,-62.0887302380955,14890.4518527778
"4",12,-0.023886936088687,-4.12709294871802,13221.71488625
"5",15,0.22763011531756,52.531961877667,15289.0092065789
"6",18,-0.149162080747265,-23.7710530107527,13680.1285903226
